7015,ENTASSET \ ETTM \ SURVEIL \ VSSMON,Video Support System Monitor
7012,ENTASSET \ ETTM \ SIGNAGE \ VSLS,Variable Speed Limit Sign
7013,ENTASSET \ ETTM \ SURVEIL \ VSS,Video Support System
7010,ENTASSET \ ETTM \ TOLLING \ VRILLUM,VR Illumination Unit (Hi Power)
7011,ENTASSET \ ETTM \ TOLLING \ VRSENSOR,VR Sensor
6958,ENTASSET \ ME \ VENT \ DAMPER,Damper
6959,ENTASSET \ ME \ PUMPING \ DWP,Deluge Control Valve WB CP25
6950,ENTASSET \ ETTM \ CONTROL \ CCCS,Central Computer Control System
7000,ENTASSET \ ETTM \ SIGNAGE \ TIMS,Tunnel Incident Management Sign
7003,ENTASSET \ ME \ HVAC \ TWT,Treated Water Tank
7002,ENTASSET \ ETTM \ CONTROL \ TSMC,Tolling Station Management Controller
7005,ENTASSET \ ME \ POWER \ UPS,Uninterruptible Power Supply
7004,ENTASSET \ ETTM \ CONTROL \ VDCCONT,Vehicle Detection and Classification Controller
7007,ENTASSET \ ETTM \ TOLLING \ VDCSENSOR,VDC Sensor
7006,ENTASSET \ ETTM \ SURVEIL \ VDA,Video Distribution Amplifier
6949,ENTASSET \ CIVIL \ STRUCTURE \ BUILDING,Building
6948,ENTASSET \ ETTM \ CONTROL \ ALC,Automatic Lane Controller
6942,ENTASSET \ ETTM \ SIGNAGE \ ADS,Advisory Sign
6940,ENTASSET \ ETTM \ SURVEIL \ ACCPOINT,Access Point
6945,ENTASSET \ ME \ HVAC \ BOILER,Boiler
7078,ENTASSET \ ME \ VENT \ FAN,Fan
7074,ENTASSET \ ETTM \ SURVEIL \ AID,Automatic Incident Detection
7075,ENTASSET \ ETTM \ SIGNAGE \ ALUS,Advanced Lane Use Sign
7076,ENTASSET \ ETTM \ SURVEIL \ ANALYSER,Analyser
7077,ENTASSET \ ETTM \ TOLLING \ CONSOLE,Console
7072,ENTASSET \ ME \ HVAC \ ACOND,Air Condition Condenser
7073,ENTASSET \ ME \ HVAC \ AHU,Air Handling Unit
6976,ENTASSET \ ME \ AIRQUAL \ OAMS,Outside Ambient Monitoring System
6977,ENTASSET \ ETTM \ CONTROL \ OHD,Over Height Detector
6974,ENTASSET \ ETTM \ TOLLING \ MEDIACO,Media Converter
6975,ENTASSET \ ETTM \ VOICECOM \ METS,Motorist Emergency Telephone System
6972,ENTASSET \ ETTM \ CONTROL \ LUS,Lane Usage Sign
6973,ENTASSET \ ETTM \ CONTROL \ MCON,Management Console
6970,ENTASSET \ ETTM \ DATACOMM \ KVM,KVM Tolling equipment
6971,ENTASSET \ ETTM \ CONTROL \ LCTU,Lane Configuration and Test Unit
6978,ENTASSET \ ETTM \ VOICECOM \ OMR,Operator's Mobile Radio system
6979,ENTASSET \ ETTM \ CABINET \ PDCAB,Power Distribution Cabinet
7100,ENTASSET \ ETTM \ SECURITY,Security System
6731,ENTASSET \ ETTM,Electronic Tolling and Traffic Management
7105,ENTASSET \ ETTM \ TOLLING \ AAS,Internal / External Application Server
7108,ENTASSET \ ME \ EQUIPMENT,Equipment
7118,ENTASSET \ CIVIL \ ROADSIDE \ FENCING,Fencing
7009,ENTASSET \ ETTM \ CONTROL \ VRCONT,Vehicle Recognition Controller
7008,ENTASSET \ ETTM \ SIGNAGE \ VMS,Variable Message Sign
